block_idx,block_name,n_anchors,microprice__joint__raw,microprice__joint__net,microprice__prem_byb__raw,microprice__prem_byb__net,microprice__prem_okx__raw,microprice__prem_okx__net,microprice__prem_bin__raw,microprice__prem_bin__net,microprice__gap_okx-byb__raw,microprice__gap_okx-byb__net,microprice__gap_bin-byb__raw,microprice__gap_bin-byb__net,ofi_normalised__joint__raw,ofi_normalised__joint__net,ofi_normalised__byb__raw,ofi_normalised__byb__net,ofi_normalised__okx__raw,ofi_normalised__okx__net,ofi_normalised__bin__raw,ofi_normalised__bin__net,ofi__joint__raw,ofi__joint__net,ofi__byb__raw,ofi__byb__net,ofi__bin__raw,ofi__bin__net,ofi__okx__raw,ofi__okx__net,price_momentum__joint__raw,price_momentum__joint__net,price_momentum__byb__raw,price_momentum__byb__net,price_momentum__okx__raw,price_momentum__okx__net,price_momentum__bin__raw,price_momentum__bin__net,flow_persistence__joint__raw,flow_persistence__joint__net,flow_persistence__bin__raw,flow_persistence__bin__net,flow_persistence__byb__raw,flow_persistence__byb__net,flow_persistence__okx__raw,flow_persistence__okx__net,xv_book_pressure__joint__raw,xv_book_pressure__joint__net,xv_book_pressure__gap_okx-byb_QI__raw,xv_book_pressure__gap_okx-byb_QI__net,xv_book_pressure__gap_okx-byb_prem__raw,xv_book_pressure__gap_okx-byb_prem__net,xv_book_pressure__gap_bin-byb_QI__raw,xv_book_pressure__gap_bin-byb_QI__net,xv_book_pressure__gap_bin-byb_prem__raw,xv_book_pressure__gap_bin-byb_prem__net,trade_rate_surge__joint__raw,trade_rate_surge__joint__net,trade_rate_surge__byb__raw,trade_rate_surge__byb__net,trade_rate_surge__okx__raw,trade_rate_surge__okx__net,trade_rate_surge__bin__raw,trade_rate_surge__bin__net,mid_rate_surge__joint__raw,mid_rate_surge__joint__net,mid_rate_surge__byb__raw,mid_rate_surge__byb__net,mid_rate_surge__okx__raw,mid_rate_surge__okx__net,mid_rate_surge__bin__raw,mid_rate_surge__bin__net,trade_rate_normalised__joint__raw,trade_rate_normalised__joint__net,trade_rate_normalised__byb__raw,trade_rate_normalised__byb__net,trade_rate_normalised__okx__raw,trade_rate_normalised__okx__net,trade_rate_normalised__bin__raw,trade_rate_normalised__bin__net,volume_normalised__joint__raw,volume_normalised__joint__net,volume_normalised__byb__raw,volume_normalised__byb__net,volume_normalised__okx__raw,volume_normalised__okx__net,volume_normalised__bin__raw,volume_normalised__bin__net,vol_over_rate__joint__raw,vol_over_rate__joint__net,vol_over_rate__byb__raw,vol_over_rate__byb__net,vol_over_rate__okx__raw,vol_over_rate__okx__net,vol_over_rate__bin__raw,vol_over_rate__bin__net,volume_surge__joint__raw,volume_surge__joint__net,volume_surge__byb__raw,volume_surge__byb__net,volume_surge__bin__raw,volume_surge__bin__net,volume_surge__okx__raw,volume_surge__okx__net,gap_dynamics__joint__raw,gap_dynamics__joint__net,gap_dynamics__okx__raw,gap_dynamics__okx__net,gap_dynamics__bin__raw,gap_dynamics__bin__net,range_breakout__joint__raw,range_breakout__joint__net,range_breakout__byb__raw,range_breakout__byb__net,range_breakout__bin__raw,range_breakout__bin__net,range_breakout__okx__raw,range_breakout__okx__net,flow_imbalance__joint__raw,flow_imbalance__joint__net,flow_imbalance__bin__raw,flow_imbalance__bin__net,flow_imbalance__byb__raw,flow_imbalance__byb__net,flow_imbalance__okx__raw,flow_imbalance__okx__net
0,holocron.20260520T135822.0,1706369,0.2599032454634964,0.16835197369440114,0.24898163990165706,0.1575591782790171,0.1967987825714436,0.11902423256089022,0.22158099943183554,0.140472090821528,0.07712300609577366,0.04581460973411815,0.03398243959457617,0.015087406529612865,0.28515119900250724,0.19326060083498808,0.22073467448004677,0.12827839968606808,0.2329650208377423,0.14639517821146852,0.2631564809048249,0.17965252357868305,0.2760318828720535,0.18420982654397383,0.21205557368290684,0.11996354701589158,0.24884480383601304,0.16716006531032723,0.22360461146732505,0.13799653971981984,0.17714710772367148,0.11063508184026062,0.10990312980993842,-0.02928284674893411,0.12614577068554125,0.06358218419394031,0.17428801890940585,0.10475762114105479,0.16678744739804308,0.0880018767177174,0.1582431637349122,0.08546558743147255,0.11330749076043846,0.04865931406006306,0.11131343840954129,0.050771749377499245,0.06586099270570199,0.040058305376838174,0.0750960121204282,0.04607785986268552,0.07712300609577366,0.04581460973411815,0.03161242388106686,0.015342909352925233,0.03398243959457617,0.015087406529612865,0.09003251074171724,0.04720372291241437,0.05241083404144241,0.011279306810754314,0.05083796789434397,0.01934886888168527,0.084100534401272,0.048697673520831986,0.1321570574901646,0.07904348456569202,0.05189412314163894,0.0023526648044554788,0.0660433190747728,0.03052140181887475,0.11105749703151217,0.07332479589590521,0.10659541186846165,0.0570440805130521,0.05660342458205676,0.00995287306014031,0.043380089570679944,0.014469085719214902,0.08930788407067487,0.05762991654723451,0.0042524824748575996,0.004442923660919668,0.0009523776597641781,0.0007683298735772226,0.0012872247790059327,0.001658398310978998,0.0049321574761489045,0.004932115429053557,-0.00840518659672608,-0.005016930940250519,-0.020307504383340676,-0.015726534873033562,-0.01044047018249089,-0.0065377621985125145,-0.004536654445398927,-0.0001230930447522205,0.010083326872897438,0.0076821010705225845,-0.00019265429458993621,-0.0004505065572163458,0.0107814396562943,0.009103970435578923,0.0002840943853838346,-0.0004934291077780539,0.08052085199971332,0.05382986943789618,0.044752291864231304,0.02911508555371678,0.08032999973003836,0.05319691260732955,0.1508384457266058,0.08928268158129689,0.10036773582993988,0.03218649688545956,0.1641750069878844,0.08973733987659548,0.12156101721234756,0.05868862714391877,0.15849739053245798,0.08424387096975443,0.1384655309413419,0.07800185857475476,0.09987596489571444,0.0422698643390647,0.0944394426852165,0.04426479647712865
1,holocron.20260520T135822.1,1701779,0.2414400291212605,0.1520626659436179,0.230739960963851,0.14184231164302424,0.18750912857789112,0.10989109826999131,0.21382890970567522,0.1327052087376741,0.05448642350210742,0.0295038366626499,-0.011553701129739876,-0.006714911956826594,0.26489164123025827,0.17140578924079092,0.2064430050060416,0.11401407133527929,0.21904229326507563,0.13257706296661437,0.24188129699199096,0.15811607915039894,0.25588943577804485,0.16236942157361067,0.19853652018346674,0.10646679150739911,0.22660890127305064,0.14505845919074067,0.2072891882710495,0.12230171096766897,0.1712853166097179,0.09960963706415486,0.1135369918360085,-0.0281757203793728,0.12760106823107686,0.06172653575687957,0.16948364470714558,0.0979677259278783,0.1676881199105042,0.08687499114894946,0.15719650666936463,0.08246542692687493,0.11678319107341882,0.05022371020693135,0.11606711839204678,0.05091357613526935,0.04549963260218878,0.027013194524907982,0.05169956037611026,0.029950060039922136,0.05448642350210742,0.0295038366626499,0.009740509447396142,0.003088497414695926,-0.011553701129739876,-0.006714911956826594,0.08870808184434305,0.045486285303342505,0.056077207006627855,0.01421621509576737,0.051566804985584455,0.01863198352219675,0.08533252345200303,0.047003049968715044,0.1310727889432584,0.07840290870136846,0.0533741019540703,0.0030075033888573854,0.06831888391849918,0.03238744013517214,0.11153025852449676,0.07272895637384075,0.09715043799426983,0.04976841698494269,0.058797716240921075,0.012970460715665516,0.03683777781334889,0.0075054318525590025,0.08680860322008753,0.05374464118046021,0.0029793854148284366,0.0029316647961486475,-2.2347663852922972e-05,2.844788253236752e-05,0.0012002367489887117,0.001033174313065488,0.0026506945179013836,0.002640597119428628,-0.029760433101097883,-0.022680559235555814,-0.025556942792871823,-0.01970454035090849,-0.01375413533620757,-0.007822448505616336,-0.004131897398920267,0.0016645180852532804,0.010750340339263503,0.009259396291954824,-0.00032840933118416515,-0.0004248977382139141,0.011176719241802968,0.010173611304933272,0.0006623979850813588,9.07854354135762e-05,0.07621999204102047,0.04476739841375542,0.03699967962686394,0.01867521687906168,0.07611305217696072,0.04436407441886779,0.14523456963105508,0.07926209038970854,0.10558291153087454,0.03591978297068389,0.15863788653562338,0.0826071292881571,0.12188700847215025,0.05530204011374808,0.16154090144023647,0.08456414985990944,0.13891034550862857,0.07573695705636084,0.10663408262633932,0.046830571404653645,0.09892656902594257,0.04499273728256768
2,holocron.20260520T135822.2,1700649,0.2548430416296062,0.15150212522391754,0.24396080576198512,0.1409073024146301,0.20162681219436906,0.11483192951101912,0.21847465077449404,0.12900315379162028,0.047733041126165845,0.023311084519763492,0.006593335331830596,-0.001154955815852704,0.2859717704709566,0.1840868132436534,0.21598375084626362,0.11254510996290706,0.23683854298797652,0.1412661618940589,0.25130559097829236,0.16243508558231318,0.2750379883031765,0.17327033091905708,0.2060732670804833,0.10342532762109788,0.23335976933027372,0.14797057754089915,0.22212517350802977,0.12907874045993178,0.197840891701644,0.11452225182525017,0.11465944054815404,-0.014611045120325447,0.14045494272452108,0.06588166383440272,0.1864317118714598,0.10695728866398688,0.19017474495889297,0.09773713796149813,0.17481879680110432,0.09173656470525815,0.11993137858698057,0.048348797264659155,0.13033609362046608,0.05801591241953044,0.03251560738310142,0.017862434821007495,0.04508572733211505,0.023579461527105744,0.047733041126165845,0.023311084519763492,0.012889442658359994,0.004774737949648805,0.006593335331830596,-0.001154955815852704,0.10191738235867681,0.05102102105400405,0.05752173460253915,0.01174090672179215,0.05678861787252565,0.01988549833058148,0.09174938062420038,0.05183666632656672,0.1466165982279165,0.08628459338651753,0.05665340626865323,0.0024842736341085248,0.07443225173086204,0.035348423643639215,0.1122467067827348,0.07476639819069616,0.08764034344133925,0.03601347540760397,0.053509944375351004,0.008731012689711992,0.025548219477123824,-0.005304455556459947,0.07947111675275104,0.048564560508239124,0.008677536660318078,0.008913741393111019,0.0012492900401317036,0.0011875117014838454,0.004391858945849592,0.004310366832358581,0.008021122743013226,0.008451481587283954,-0.025697045271350062,-0.020015464334147914,-0.03378293892118617,-0.02718701581700808,-0.012475048375225561,-0.006291113580861429,-0.004857413061354718,0.0024415096779113465,0.01694067787278461,0.013325025398793766,-5.872589876551593e-05,-0.00012592389169635565,0.015486158022917557,0.013401144742666377,0.0025445794171586877,0.0008204976178449175,0.09850905742103672,0.05819210689889015,0.06123726819422338,0.033808595105204564,0.10002007436834827,0.057925734529468725,0.17376991237497116,0.09494690242313336,0.1171460912397864,0.036518014336873766,0.18322003271784673,0.09577358031514,0.1451513879597086,0.06740329179901222,0.17700827550576578,0.0925806127091352,0.14703084381565418,0.0827296455578051,0.10453239450244868,0.04236257689905007,0.10580487203032864,0.05050256355625307
3,holocron.20260520T135822.3,1683974,0.23344998335879077,0.14492642878702694,0.2239743672681685,0.13534323185563396,0.18236033246547773,0.10926353079578276,0.19637854019392367,0.12041760623630897,0.05323222854873916,0.028589521509385832,0.035202354463750855,0.01644336861237039,0.26289740973743614,0.17585401908275172,0.20073202073688817,0.1115925443249237,0.21317020211487497,0.13227377590578565,0.23001837454654503,0.1547962670541001,0.25431738204448157,0.16735077416681482,0.19190051698475705,0.10324065766490918,0.21338995714446152,0.14110730977237373,0.20206512299253118,0.12258881405984608,0.18301307120041488,0.10919061807699086,0.11522475088383033,0.026652063644841822,0.1285776638338357,0.06498195425920396,0.16866303243775457,0.10243214833913665,0.16957184077741497,0.09116704258324863,0.1574289178748858,0.08559675248397773,0.11014756985278103,0.04893568195199345,0.11631630829695153,0.05406328541403736,0.035009366283368336,0.019508716430409495,0.049722987296737624,0.028968388201429288,0.05323222854873916,0.028589521509385832,0.01796263532747455,0.009498008376988734,0.035202354463750855,0.01644336861237039,0.08755472659044074,0.04315693476570712,0.049089499844776105,0.009733457189131656,0.051337479178934095,0.017951411013030327,0.08232989427521127,0.04436182071095579,0.1288605246909597,0.07570967612777363,0.05184279287470604,0.00277679862842517,0.0656779108959689,0.030946039786471813,0.09932260360354227,0.06567982232993588,0.08939045000092803,0.04496693097637122,0.04375640040223519,0.007039363985117786,0.037688078156001115,0.008709451909498345,0.07780329014860447,0.04777413668294303,0.0048104422730245455,0.004030012954120504,0.0013006057581579772,0.0006654224739326142,0.0022999548598733183,0.0022172024302621884,0.0040035738703984025,0.0035903225731095945,-0.027230449841905494,-0.02141744072734192,-0.0309415999863941,-0.025154821968841223,-0.01036565897032081,-0.0063278179422470715,-0.003231589934870785,0.002581597352192516,0.013149733992049994,0.009065309367407182,-0.0010086206682326515,-0.0017572334789595079,0.01557858783038231,0.012949251809319245,-0.0005398643350044974,-0.0021277403517601934,0.08313933708758295,0.04861063486821489,0.0489163074720383,0.027245076634079393,0.08290780369756792,0.04812020013598013,0.15544818815233538,0.08502614514796362,0.10591322285078758,0.0385727412053921,0.16125574887839048,0.08676166071676357,0.12562618709562062,0.05991287847365949,0.16384073497907112,0.08989198165629896,0.14153501353356016,0.08187944211456975,0.09888014226244014,0.044151975287457526,0.09994689200142765,0.04877719910082624
4,holocron.20260520T135822.4,1709596,0.2592462535209056,0.15522957864476833,0.2487405302142979,0.14506296311145622,0.2024519198803653,0.11486185339556536,0.22375082461609008,0.13257363001656058,0.07201135375439732,0.03946346171886529,0.043940882841149,0.02002167042690252,0.27901415214245495,0.17261062575275993,0.21986877653682294,0.11419223264235907,0.2345606035113669,0.13627881692074317,0.25579138728567713,0.16268685995005294,0.2706894819023579,0.16431653016182746,0.2117791902497614,0.10658516048267123,0.23803448862285193,0.14887193627229883,0.2225731149185838,0.12584448696678407,0.18792182596472817,0.10633306659338658,0.12411991839126718,-0.013005818278441175,0.13993015375007647,0.06434673205734008,0.1819302456633703,0.10117997185409501,0.17858723582308805,0.08849391270961328,0.16742697131190262,0.08510140778248303,0.12426551947279904,0.05012994912998704,0.13071889831999947,0.056871792406398794,0.058822245998734826,0.03290559049620141,0.06893325618376504,0.039986234217703046,0.07201135375439732,0.03946346171886529,0.03289563122220805,0.01769445947256683,0.043940882841149,0.02002167042690252,0.09870074379310187,0.04795852603544776,0.05416909308018114,0.008752922115794703,0.06031700151136199,0.019261394111545538,0.095095463100068,0.04912670564625704,0.14113396545088355,0.0780262629429665,0.061008707015407504,0.002513037135318169,0.07827114852647224,0.03272720192295461,0.1127684657055063,0.06973105213261574,0.10967069105590507,0.056390470653615854,0.047698245202014294,0.005324277221780055,0.05073305401003421,0.013442407909454251,0.0968970444061453,0.05723026766893585,0.0004168411502648156,0.0006188910923830837,-0.0009669664039985149,-0.0007923110129129107,-0.0008163384238480675,-0.0007370238571636212,0.0033073613261987433,0.002668783110773343,-0.014618167664868668,-0.010288437044300963,-0.017556235832367748,-0.013261029863944396,-0.009771392986135927,-0.005285853527355111,-0.0030211527845270814,0.0016601968853190707,0.013572720402224181,0.011372763670938257,0.00017006381417770944,4.92923665836309e-05,0.012080495700467458,0.011310269527977646,0.002291957294078037,0.0008034116361383403,0.08243478832383185,0.05146143501234658,0.05496991927648892,0.031747481590071416,0.08045528191385966,0.05025400080882801,0.15998031677505226,0.08789330681204467,0.11701736169199044,0.03853752197703887,0.1729720918310989,0.0892717974122897,0.13748038379888014,0.06224406102314829,0.171353376918872,0.08665788492197031,0.14717761795434117,0.08005251192608236,0.10801934884728363,0.04328051551824415,0.10925472697148747,0.05040991300253743
5,holocron.20260520T135822.5,1222987,0.2592751589098868,0.1573837549290068,0.2478366127856753,0.1467875662166716,0.20379783115910274,0.11662326122185938,0.22253694493335707,0.13326010121173593,0.06711190683251016,0.03990954375581736,0.038802843111087885,0.019075385441784554,0.2819518101704226,0.1768711582146788,0.22489452398212822,0.12034000414521072,0.2332840642802107,0.1367533611605476,0.25399484616767626,0.16275330377372554,0.27178858283877466,0.16674570232109037,0.21651402715857077,0.11213345457046515,0.23554527758685925,0.14786140946607612,0.2225824635442333,0.12759716194839993,0.18758084132694133,0.1041363964777658,0.1291787652989855,-0.013339989166765875,0.13907176933870413,0.06497021439071783,0.1776644496049871,0.09857878637095387,0.17492203103397733,0.08739074847387422,0.1596121949957738,0.08180748244908935,0.1291052230878534,0.05400623056510882,0.13103332193801653,0.058429887514899345,0.05618199638017112,0.03568938284368066,0.06308309975659772,0.04032187417283313,0.06711190683251016,0.03990954375581736,0.03542568455146636,0.020091233199377487,0.038802843111087885,0.019075385441784554,0.09648951656913882,0.04930030278811151,0.05591696803553811,0.011894173272485958,0.06219546413843563,0.023704355793001397,0.09015373713403493,0.048375694767446104,0.13174219604157922,0.07349247863915997,0.06062991805720305,0.0039577890576764085,0.07291217766815158,0.031196681059294462,0.10637980655174628,0.06552126112197873,0.11627253341337007,0.06180666165953341,0.061352004218268974,0.010905484349704647,0.05819117645878988,0.021677122138322652,0.09404601682173294,0.05740357266272875,0.002307297612512582,0.00222694466843254,-0.0007978492793230679,-0.0005979955441291762,1.6201843009988615e-06,7.013699277724772e-05,0.004179658467390712,0.0035195948305785374,-0.010173470722296435,-0.008139915181401197,-0.011001540071176555,-0.008421268504940432,-0.006896578894048863,-0.004209206870824794,-0.004069649824220312,-0.0012154643681712152,0.009137667421024245,0.008743451909164673,4.604987758352608e-05,-0.0001612171272697971,0.009935079789867629,0.009558315781872107,-0.0001982103433239013,-0.00022655780017649674,0.07396797943977002,0.05424160599237558,0.04002370064562116,0.030824617041375305,0.07556680767459849,0.05501102139608276,0.15520517146484536,0.08400641565018861,0.11962019044334307,0.03957969493513215,0.1667841843707549,0.08539020573417387,0.13577116155422905,0.062335150308241286,0.1695441959200779,0.08660957831773879,0.1377948330811524,0.07587268981617014,0.11316570804476549,0.046743178639574404,0.1114651822104831,0.051368625558458295
6,holocron.20260526T073127.0,33602,0.23447983739752082,0.15375277928125125,0.229431218393173,0.149047703209231,0.18208161473763462,0.11260865938371312,0.20392928794435516,0.13386059666361722,0.039111154206140725,0.022678223373230555,0.025255285305752197,0.012574995572541978,0.2511886522764869,0.1593426803818369,0.20148219503710407,0.10914395596532181,0.22378889713812472,0.13845195116611914,0.23886364519692138,0.1589351970040498,0.24766154854944233,0.15573352678743757,0.19947081480357248,0.10793687603976265,0.23357207957538084,0.15458031964644742,0.2210360838282452,0.13641920366463628,0.1688677199499654,0.10492548236185567,0.11002330003246624,0.01233702267987831,0.12033976195212388,0.06379036887579315,0.1639798868114774,0.1072737544161946,0.17219448972145723,0.10140918537760044,0.16205306301179295,0.09883238294324939,0.12604031371352886,0.060991226446452995,0.10659676168968259,0.04852401380718724,0.03141746569654933,0.012068829340674436,0.03776011356310145,0.02525547997274874,0.039111154206140725,0.022678223373230555,0.02099450392587253,0.012523094967967136,0.025255285305752197,0.012574995572541978,0.1274284161801083,0.07597010529615937,0.10467693583547061,0.03215557004055365,0.10842658359437601,0.054822399766455907,0.1526575359794905,0.1012613910635164,0.16104493589831648,0.10014337612612582,0.10134273289084941,0.027244841790467877,0.11109721045655538,0.05383956745319855,0.16477874216839258,0.1104625183736866,0.17292722910465183,0.10023688420052303,0.11086599919376441,0.04110997436844878,0.1082990402875024,0.054983090726328385,0.15180317761814152,0.10685733253716533,-0.006694438963207007,0.00428581280712495,-0.0015870295303689486,0.005330635725403279,-0.004581315421222042,0.0004162633224389506,-0.005391171124015509,0.001396615561717468,0.032303366652472534,0.03438214303966593,0.0029668218042450713,-0.00143766372968053,0.0019787007385496796,0.0018115015315756516,0.007963286533306132,0.019049141305928968,-0.002673943337028111,0.004063962904040042,-0.00673306898070786,-0.0019866391245789983,0.02118097511812676,0.01776403730555301,-0.012227059037389472,-0.0034500830420641088,0.046822977089166995,0.03726401442130797,0.004239314163261121,0.004381105759113352,0.045698812456859444,0.036889725790168304,0.14255189158203257,0.08934064102830469,0.11139104320217079,0.044432260679358765,0.15719332628831273,0.0966710534787121,0.11852196313189835,0.061709134727658765,0.17574353461680264,0.10266742542081159,0.14240763137982287,0.08890259826589758,0.10827780631489235,0.05409686511826911,0.08594126337365332,0.03961700218415415
10,holocron.20260526T092411.0,394501,0.3764373942251527,0.1999828394001433,0.36182913484810986,0.17767618204104793,0.2991118013092314,0.1434565801349418,0.33698910009160704,0.1745030124566689,0.0734122831515057,0.024281851954584877,-0.007890170432463088,-0.008745025803030687,0.42901704890394216,0.25297198174132896,0.3213716534719668,0.1453087538309368,0.34014636326098874,0.1805514072396555,0.36216959392136955,0.21433367962693498,0.41770765761193884,0.24175406342073844,0.3122427481260316,0.1370556139101323,0.3393723583828869,0.19792154627811828,0.3200332409040268,0.16540985194389554,0.32043318564700923,0.16234444661479144,0.17970412696780438,-0.0061317215177128515,0.2314741897164484,0.09210227897694709,0.2864183700855626,0.14432587052714593,0.27728703899964313,0.11611848472004668,0.24956659622980754,0.10458249447622173,0.19028020768449483,0.056488406156248755,0.19148362171194183,0.06430994748849733,0.04052396938856309,0.014491995465870045,0.07072188311297783,0.026324306674758435,0.0734122831515057,0.024281851954584877,0.046152572382713794,0.006230516846785689,-0.007890170432463088,-0.008745025803030687,0.15249328501320827,0.07655510366675905,0.0735774853790454,0.011753960136296204,0.08677741923694199,0.030040470706364814,0.14080548682631214,0.0768305790112151,0.21366689265458014,0.1276750921570708,0.07249587971712837,0.0005268863671364921,0.11389751075202845,0.05487809323555942,0.15472761109830294,0.10411697007861898,0.17171170781323022,0.09061163241567088,0.07720320013592838,0.014697168675021882,0.07772833931639841,0.025083757454043953,0.12906317778848764,0.08412529249828404,0.006323060776968592,0.005027288144934888,0.0013012542221176732,0.0011606451919755068,0.00293221031558466,0.002205547478630998,0.004679823177119458,0.004154197841549495,-0.00416474077771567,-0.002299512176418078,-0.013246645314267835,-0.010570260668962772,-0.0008648307670103272,0.0010654152627025404,0.0072669690456256125,0.008762210785248747,0.008345515270019727,0.004884199551387275,-0.00044339233482094953,-0.0003528031096545481,0.0160368242563238,0.012626187833245539,-0.00695149031973008,-0.007535642500038159,0.18827163488798251,0.09598512612177187,0.12783543230212235,0.053043034214943746,0.18253686801223193,0.09102883124572272,0.2785609385677285,0.13371175778749397,0.16174517501665164,0.028300035859119388,0.27669754326632034,0.11844856799234924,0.22404143942211302,0.07781525343946008,0.2498127216212696,0.10419193900852111,0.191409787643408,0.08366884405403405,0.16779097083180272,0.05188924265718606,0.1482210537031396,0.05331452511834692
11,holocron.20260526T155045.0,108038,0.3576515274013337,0.19349663549738216,0.3398734467017373,0.17365032914795436,0.3010420265021752,0.1504436277026398,0.3174058694332679,0.16745538865533238,0.08128498417516519,0.03443263582829151,0.050163867620526915,0.012966242972734104,0.38087706506315305,0.22042245229796908,0.2752412745873036,0.09497470336958092,0.3123762255876789,0.16608030205978336,0.3300017000368394,0.193632587206442,0.36314375205836147,0.20456595786277337,0.26774117283557236,0.08840679128664769,0.30124609629300697,0.1725486462210563,0.2941691483519832,0.15204139071665335,0.29975445191675687,0.14568221959364497,0.17692545682864638,-0.022419343977442052,0.2120537047229361,0.08014713551718217,0.2667827078837569,0.1374247855483443,0.27504370703081765,0.11846776761214256,0.24798238425905564,0.10614775061272674,0.19263620868964385,0.0669429206922838,0.1933853066146077,0.06274973070107764,0.05049042680831042,0.02039996255496837,0.07633048936395959,0.034089663675920534,0.08128498417516519,0.03443263582829151,0.016349516635732093,0.0006356305098570436,0.050163867620526915,0.012966242972734104,0.1662973039043325,0.07635543433044473,0.08880103132501992,0.017290017684993997,0.09882935702369904,0.02666215108834505,0.16458419417583997,0.08805014313850723,0.21922941784152644,0.1205846627409467,0.08700045746674297,0.0005099887025166172,0.11819490594482902,0.04990794942766036,0.16439312398355171,0.10564224862046284,0.19193639337926222,0.0985085456961915,0.08719831245005473,0.017352397894212446,0.09668335653837969,0.025997283814419653,0.15574078025601718,0.09960441509471296,-0.008520258646636802,-0.007932208500391169,-0.007258668682102648,-0.0073608004633741175,-0.0010470833767529247,-0.00013381132023887465,-0.00020268996979701248,-0.00029349613052415124,-0.019697154991804855,-0.01915100047431126,-0.02369374723871319,-0.021844376409530075,-0.002952790607037889,-0.0005787739183803209,0.00443852444370961,0.007758905037117986,0.017172194664188692,0.013897943825283532,-0.00042553788802664194,-0.000294979876757695,0.01532225691584399,0.014316236810145544,0.003718893371345608,0.001682536233985038,0.1740389752903071,0.09168810537688471,0.12062815941900681,0.05258486697145115,0.16846385127638439,0.08663423421268457,0.2680181710586598,0.13025653300435058,0.16636876108815862,0.0343373510090042,0.27215494257981293,0.12244347069816908,0.21758106333851415,0.07791942918385325,0.2466612196784936,0.1039049362989008,0.18528792244684622,0.07796249414441053,0.1722040556581038,0.059506614582963024,0.15540260566151384,0.05110702556020705
12,holocron.20260526T173015.0,1311542,0.2613361917153828,0.16308833951252957,0.25409852776240394,0.15499519429038036,0.2075191900790813,0.12370978499048119,0.22953488653022427,0.14275027258757703,0.07852171306562818,0.04560955030743688,0.04837237251739461,0.02057197868771829,0.28151087063609337,0.17739376064902043,0.2227986022983608,0.12056222137870104,0.23767258229324864,0.14222061815015788,0.2545890920176036,0.1622438000596603,0.2728925046472275,0.16879747784304075,0.2129462906025484,0.11109563991408217,0.23946763929219897,0.14940583175781233,0.22736359047506624,0.13290066200114736,0.1880040336165784,0.10816475232462419,0.14302687075433018,-0.030190863835941967,0.1493473437784419,0.07576272049740024,0.1859350954841667,0.10797334375997264,0.1835054304134636,0.09641673757918967,0.16947959446303565,0.09054549226162967,0.13394726624809508,0.060431704864944674,0.12645353453220506,0.05969650461885842,0.0607068336270495,0.037597781016060816,0.07524105762699193,0.04617554097075646,0.07852171306562818,0.04560955030743688,0.0369583219613815,0.016200601209451562,0.04837237251739461,0.02057197868771829,0.10274396891625219,0.05399929408414825,0.06617417110362862,0.016371367714444474,0.05925935947895851,0.02382931740904254,0.10099910699929145,0.05644224128738115,0.14312120732326455,0.08027937003101862,0.06834776138137473,0.006583224278823935,0.07928235117274231,0.03770569996937803,0.123898357925552,0.07735742003115706,0.12302340433466426,0.06753469018434069,0.07258254035974397,0.017054681468812727,0.055685807582883676,0.021340579726158077,0.10678268932481168,0.06406862877321218,6.538801473536526e-05,6.0649279513325105e-05,0.0005672690172917327,0.0004213626060916298,-0.00046866695460735797,-0.00041276900252038007,0.00035749777125435034,0.0004690954566869132,-0.005811684999542113,-0.004780298776285885,-0.011197395883834414,-0.009156291776864944,-0.005002831998844506,-0.0019440832720947487,0.00216797494264169,0.005199525000134486,0.009914246360636134,0.009484209865581822,-0.00012203330347580754,-4.57824981604793e-05,0.010104435262288339,0.010647841070331815,0.001386978559019647,0.00040749626392488913,0.08928191066809377,0.05710131408375854,0.05479387890611112,0.03536546097016777,0.08918974244142566,0.056556387403737945,0.16428007016509993,0.09116413251511246,0.12894890567626507,0.04991631465304919,0.18062498343156624,0.09865732431617885,0.144901861147869,0.07232817084623872,0.17313070878063955,0.09106632770755643,0.13970109609380232,0.07738758430340167,0.118285043243988,0.053822364417094065,0.11075348653025263,0.05311805632548089
