block_idx,block_name,n_anchors,microprice__joint,microprice__prem_byb,microprice__prem_okx,microprice__prem_bin,microprice__gap_okx-byb,microprice__gap_bin-byb,ofi_normalised__joint,ofi_normalised__byb,ofi_normalised__okx,ofi_normalised__bin,ofi__joint,ofi__byb,ofi__bin,ofi__okx,price_momentum__joint,price_momentum__byb,price_momentum__okx,price_momentum__bin,flow_persistence__joint,flow_persistence__bin,flow_persistence__byb,flow_persistence__okx,xv_book_pressure__joint,xv_book_pressure__gap_okx-byb_QI,xv_book_pressure__gap_okx-byb_prem,xv_book_pressure__gap_bin-byb_QI,xv_book_pressure__gap_bin-byb_prem,trade_rate_surge__joint,trade_rate_surge__byb,trade_rate_surge__okx,trade_rate_surge__bin,mid_rate_surge__joint,mid_rate_surge__byb,mid_rate_surge__okx,mid_rate_surge__bin,trade_rate_normalised__joint,trade_rate_normalised__byb,trade_rate_normalised__okx,trade_rate_normalised__bin,volume_normalised__joint,volume_normalised__byb,volume_normalised__okx,volume_normalised__bin,vol_over_rate__joint,vol_over_rate__byb,vol_over_rate__okx,vol_over_rate__bin,volume_surge__joint,volume_surge__byb,volume_surge__bin,volume_surge__okx,gap_dynamics__joint,gap_dynamics__okx,gap_dynamics__bin,range_breakout__joint,range_breakout__byb,range_breakout__bin,range_breakout__okx,flow_imbalance__joint,flow_imbalance__bin,flow_imbalance__byb,flow_imbalance__okx
0,holocron.20260520T135822.0,1706369,0.2599032454634964,0.24898163990165706,0.1967987825714436,0.22158099943183554,0.07712300609577366,0.03398243959457617,0.28515119900250724,0.22073467448004677,0.2329650208377423,0.2631564809048249,0.2760318828720535,0.21205557368290684,0.24884480383601304,0.22360461146732505,0.17714710772367148,0.10990312980993842,0.12614577068554125,0.17428801890940585,0.16678744739804308,0.1582431637349122,0.11330749076043846,0.11131343840954129,0.06586099270570199,0.0750960121204282,0.07712300609577366,0.03161242388106686,0.03398243959457617,0.09003251074171724,0.05241083404144241,0.05083796789434397,0.084100534401272,0.1321570574901646,0.05189412314163894,0.0660433190747728,0.11105749703151217,0.10659541186846165,0.05660342458205676,0.043380089570679944,0.08930788407067487,0.0042524824748575996,0.0009523776597641781,0.0012872247790059327,0.0049321574761489045,-0.00840518659672608,-0.020307504383340676,-0.01044047018249089,-0.004536654445398927,0.010083326872897438,-0.00019265429458993621,0.0107814396562943,0.0002840943853838346,0.08052085199971332,0.044752291864231304,0.08032999973003836,0.1508384457266058,0.10036773582993988,0.1641750069878844,0.12156101721234756,0.15849739053245798,0.1384655309413419,0.09987596489571444,0.0944394426852165
1,holocron.20260520T135822.1,1701779,0.2414400291212605,0.230739960963851,0.18750912857789112,0.21382890970567522,0.05448642350210742,-0.011553701129739876,0.26489164123025827,0.2064430050060416,0.21904229326507563,0.24188129699199096,0.25588943577804485,0.19853652018346674,0.22660890127305064,0.2072891882710495,0.1712853166097179,0.1135369918360085,0.12760106823107686,0.16948364470714558,0.1676881199105042,0.15719650666936463,0.11678319107341882,0.11606711839204678,0.04549963260218878,0.05169956037611026,0.05448642350210742,0.009740509447396142,-0.011553701129739876,0.08870808184434305,0.056077207006627855,0.051566804985584455,0.08533252345200303,0.1310727889432584,0.0533741019540703,0.06831888391849918,0.11153025852449676,0.09715043799426983,0.058797716240921075,0.03683777781334889,0.08680860322008753,0.0029793854148284366,-2.2347663852922972e-05,0.0012002367489887117,0.0026506945179013836,-0.029760433101097883,-0.025556942792871823,-0.01375413533620757,-0.004131897398920267,0.010750340339263503,-0.00032840933118416515,0.011176719241802968,0.0006623979850813588,0.07621999204102047,0.03699967962686394,0.07611305217696072,0.14523456963105508,0.10558291153087454,0.15863788653562338,0.12188700847215025,0.16154090144023647,0.13891034550862857,0.10663408262633932,0.09892656902594257
2,holocron.20260520T135822.2,1700649,0.2548430416296062,0.24396080576198512,0.20162681219436906,0.21847465077449404,0.047733041126165845,0.006593335331830596,0.2859717704709566,0.21598375084626362,0.23683854298797652,0.25130559097829236,0.2750379883031765,0.2060732670804833,0.23335976933027372,0.22212517350802977,0.197840891701644,0.11465944054815404,0.14045494272452108,0.1864317118714598,0.19017474495889297,0.17481879680110432,0.11993137858698057,0.13033609362046608,0.03251560738310142,0.04508572733211505,0.047733041126165845,0.012889442658359994,0.006593335331830596,0.10191738235867681,0.05752173460253915,0.05678861787252565,0.09174938062420038,0.1466165982279165,0.05665340626865323,0.07443225173086204,0.1122467067827348,0.08764034344133925,0.053509944375351004,0.025548219477123824,0.07947111675275104,0.008677536660318078,0.0012492900401317036,0.004391858945849592,0.008021122743013226,-0.025697045271350062,-0.03378293892118617,-0.012475048375225561,-0.004857413061354718,0.01694067787278461,-5.872589876551593e-05,0.015486158022917557,0.0025445794171586877,0.09850905742103672,0.06123726819422338,0.10002007436834827,0.17376991237497116,0.1171460912397864,0.18322003271784673,0.1451513879597086,0.17700827550576578,0.14703084381565418,0.10453239450244868,0.10580487203032864
3,holocron.20260520T135822.3,1683974,0.23344998335879077,0.2239743672681685,0.18236033246547773,0.19637854019392367,0.05323222854873916,0.035202354463750855,0.26289740973743614,0.20073202073688817,0.21317020211487497,0.23001837454654503,0.25431738204448157,0.19190051698475705,0.21338995714446152,0.20206512299253118,0.18301307120041488,0.11522475088383033,0.1285776638338357,0.16866303243775457,0.16957184077741497,0.1574289178748858,0.11014756985278103,0.11631630829695153,0.035009366283368336,0.049722987296737624,0.05323222854873916,0.01796263532747455,0.035202354463750855,0.08755472659044074,0.049089499844776105,0.051337479178934095,0.08232989427521127,0.1288605246909597,0.05184279287470604,0.0656779108959689,0.09932260360354227,0.08939045000092803,0.04375640040223519,0.037688078156001115,0.07780329014860447,0.0048104422730245455,0.0013006057581579772,0.0022999548598733183,0.0040035738703984025,-0.027230449841905494,-0.0309415999863941,-0.01036565897032081,-0.003231589934870785,0.013149733992049994,-0.0010086206682326515,0.01557858783038231,-0.0005398643350044974,0.08313933708758295,0.0489163074720383,0.08290780369756792,0.15544818815233538,0.10591322285078758,0.16125574887839048,0.12562618709562062,0.16384073497907112,0.14153501353356016,0.09888014226244014,0.09994689200142765
4,holocron.20260520T135822.4,1709596,0.2592462535209056,0.2487405302142979,0.2024519198803653,0.22375082461609008,0.07201135375439732,0.043940882841149,0.27901415214245495,0.21986877653682294,0.2345606035113669,0.25579138728567713,0.2706894819023579,0.2117791902497614,0.23803448862285193,0.2225731149185838,0.18792182596472817,0.12411991839126718,0.13993015375007647,0.1819302456633703,0.17858723582308805,0.16742697131190262,0.12426551947279904,0.13071889831999947,0.058822245998734826,0.06893325618376504,0.07201135375439732,0.03289563122220805,0.043940882841149,0.09870074379310187,0.05416909308018114,0.06031700151136199,0.095095463100068,0.14113396545088355,0.061008707015407504,0.07827114852647224,0.1127684657055063,0.10967069105590507,0.047698245202014294,0.05073305401003421,0.0968970444061453,0.0004168411502648156,-0.0009669664039985149,-0.0008163384238480675,0.0033073613261987433,-0.014618167664868668,-0.017556235832367748,-0.009771392986135927,-0.0030211527845270814,0.013572720402224181,0.00017006381417770944,0.012080495700467458,0.002291957294078037,0.08243478832383185,0.05496991927648892,0.08045528191385966,0.15998031677505226,0.11701736169199044,0.1729720918310989,0.13748038379888014,0.171353376918872,0.14717761795434117,0.10801934884728363,0.10925472697148747
5,holocron.20260520T135822.5,1222987,0.2592751589098868,0.2478366127856753,0.20379783115910274,0.22253694493335707,0.06711190683251016,0.038802843111087885,0.2819518101704226,0.22489452398212822,0.2332840642802107,0.25399484616767626,0.27178858283877466,0.21651402715857077,0.23554527758685925,0.2225824635442333,0.18758084132694133,0.1291787652989855,0.13907176933870413,0.1776644496049871,0.17492203103397733,0.1596121949957738,0.1291052230878534,0.13103332193801653,0.05618199638017112,0.06308309975659772,0.06711190683251016,0.03542568455146636,0.038802843111087885,0.09648951656913882,0.05591696803553811,0.06219546413843563,0.09015373713403493,0.13174219604157922,0.06062991805720305,0.07291217766815158,0.10637980655174628,0.11627253341337007,0.061352004218268974,0.05819117645878988,0.09404601682173294,0.002307297612512582,-0.0007978492793230679,1.6201843009988615e-06,0.004179658467390712,-0.010173470722296435,-0.011001540071176555,-0.006896578894048863,-0.004069649824220312,0.009137667421024245,4.604987758352608e-05,0.009935079789867629,-0.0001982103433239013,0.07396797943977002,0.04002370064562116,0.07556680767459849,0.15520517146484536,0.11962019044334307,0.1667841843707549,0.13577116155422905,0.1695441959200779,0.1377948330811524,0.11316570804476549,0.1114651822104831
6,holocron.20260526T073127.0,33602,0.23447983739752082,0.229431218393173,0.18208161473763462,0.20392928794435516,0.039111154206140725,0.025255285305752197,0.2511886522764869,0.20148219503710407,0.22378889713812472,0.23886364519692138,0.24766154854944233,0.19947081480357248,0.23357207957538084,0.2210360838282452,0.1688677199499654,0.11002330003246624,0.12033976195212388,0.1639798868114774,0.17219448972145723,0.16205306301179295,0.12604031371352886,0.10659676168968259,0.03141746569654933,0.03776011356310145,0.039111154206140725,0.02099450392587253,0.025255285305752197,0.1274284161801083,0.10467693583547061,0.10842658359437601,0.1526575359794905,0.16104493589831648,0.10134273289084941,0.11109721045655538,0.16477874216839258,0.17292722910465183,0.11086599919376441,0.1082990402875024,0.15180317761814152,-0.006694438963207007,-0.0015870295303689486,-0.004581315421222042,-0.005391171124015509,0.032303366652472534,0.0029668218042450713,0.0019787007385496796,0.007963286533306132,-0.002673943337028111,-0.00673306898070786,0.02118097511812676,-0.012227059037389472,0.046822977089166995,0.004239314163261121,0.045698812456859444,0.14255189158203257,0.11139104320217079,0.15719332628831273,0.11852196313189835,0.17574353461680264,0.14240763137982287,0.10827780631489235,0.08594126337365332
7,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
